Page,Pageviews,Unique Pageviews,Avg. Time on Page,Entrances,Bounce Rate,% Exit,Page Value
/explore/posts?start=2015-02-26T03:00:00.000Z&end=2015-02-27T12:59:59.999Z,6,1,0:08:27,1,0.00%,16.67%,$0.00
/explore/posts?start=2015-03-05T13:00:00.000Z&end=2015-03-13T12:59:59.999Z,6,3,0:04:31,0,0.00%,0.00%,$0.00
/explore/posts?start=2015-03-05T14:00:00.000Z&end=2015-03-13T13:59:59.999Z,6,5,0:07:28,3,66.67%,66.67%,$0.00
/explore/posts?start=2015-03-10T07:00:00.000Z&end=2015-03-11T16:59:59.999Z&sources=facebook&sources=foursquare&sources=twitter&kind_name=video,6,6,0:00:14,3,33.33%,16.67%,$0.00
/explore/posts?start=2015-03-12T06:00:00.000Z&end=2015-03-13T12:59:59.999Z,6,1,0:01:23,0,0.00%,0.00%,$0.00
/explore/posts?start=2015-03-17T23:00:00.000Z&end=2015-03-19T15:59:59.999Z,6,6,0:00:00,5,80.00%,100.00%,$0.00
/explore/posts?start=2015-03-18T01:00:00.000Z&end=2015-03-19T12:59:59.999Z,6,2,0:02:21,0,0.00%,0.00%,$0.00
/explore/posts?kind_name=photo&kind_name=video&start=2015-02-20T01:00:00.000Z&end=2015-02-21T04:59:59.999Z,5,1,0:00:41,0,0.00%,0.00%,$0.00
/explore/posts?kind_name=photo&kind_name=video&start=2015-03-03T05:00:00.000Z&end=2015-03-11T03:59:59.999Z&place_id=54ff19c56f5e2268de95cbba,5,3,0:17:02,3,66.67%,60.00%,$0.00
/explore/posts?poster_id=4S-44814956&start=2015-03-10 17:00:00&end=2015-03-11 17:00:00,5,4,0:00:24,1,0.00%,60.00%,$0.00
/explore/posts?poster_id=4S-80268392,5,1,0:00:20,0,0.00%,20.00%,$0.00
/explore/posts?poster_id=4S-85101933&start=2015-03-09 13:00:00&end=2015-03-10 13:00:00,5,3,0:00:53,0,0.00%,0.00%,$0.00
/explore/posts?poster_id=FB-10153099662842618&start=2015-03-04 17:00:00&end=2015-03-05 17:00:00,5,1,0:00:11,0,0.00%,20.00%,$0.00
/explore/posts?poster_id=FB-10205296207338122&start=2015-03-09 17:00:00&end=2015-03-10 17:00:00,5,2,0:01:03,0,0.00%,20.00%,$0.00
/explore/posts?poster_id=IG-10051934,5,4,0:04:13,0,0.00%,0.00%,$0.00
/explore/posts?poster_id=IG-1013862067&start=2015-02-19T01:00:00.000Z&end=2015-02-20T04:59:59.999Z,5,1,0:00:05,0,0.00%,0.00%,$0.00
/explore/posts?poster_id=IG-1013862067&start=2015-02-22T02:00:00.000Z&end=2015-02-23T04:59:59.999Z,5,1,0:02:01,0,0.00%,0.00%,$0.00
/explore/posts?poster_id=IG-17652770,5,3,0:00:25,1,0.00%,0.00%,$0.00
/explore/posts?poster_id=IG-352219825,5,2,0:00:16,0,0.00%,20.00%,$0.00
/explore/posts?poster_id=IG-372575696,5,1,0:01:53,0,0.00%,0.00%,$0.00
/explore/posts?poster_id=TW-2239716770&start=2015-02-19T01:00:00.000Z&end=2015-02-20T04:59:59.999Z,5,1,0:03:13,0,0.00%,0.00%,$0.00
/explore/posts?poster_id=TW-31133471,5,1,0:00:19,0,0.00%,0.00%,$0.00
/explore/posts?poster_id=TW-40924038,5,1,0:02:30,0,0.00%,0.00%,$0.00
/explore/posts?start=2014-01-31T16:00:00.000Z&end=2015-02-19T15:59:59.999Z,5,5,0:00:00,5,100.00%,100.00%,$0.00
/explore/posts?start=2014-02-28T16:00:00.000Z&end=2015-03-04T15:59:59.999Z,5,4,0:20:51,4,50.00%,60.00%,$0.00
/explore/posts?start=2015-01-20T13:00:00.000Z&end=2015-01-28T12:59:59.999Z,5,5,0:00:00,5,50.00%,100.00%,$0.00
/explore/posts?start=2015-02-01T13:00:00.000Z&end=2015-03-02T12:59:59.999Z,5,5,0:26:38,5,75.00%,80.00%,$0.00
/explore/posts?start=2015-02-03T14:00:00.000Z&end=2015-03-04T13:59:59.999Z,5,5,0:04:12,5,80.00%,80.00%,$0.00
/explore/posts?start=2015-02-04T13:00:00.000Z&end=2015-03-05T12:59:59.999Z,5,4,0:01:15,1,0.00%,60.00%,$0.00
/explore/posts?start=2015-02-09T14:00:00.000Z&end=2015-03-10T13:59:59.999Z,5,4,0:11:32,3,66.67%,60.00%,$0.00
/explore/posts?start=2015-02-10T13:00:00.000Z&end=2015-03-11T12:59:59.999Z,5,5,0:00:06,3,50.00%,60.00%,$0.00
/explore/posts?start=2015-02-12T05:00:00.000Z&end=2015-03-13T03:59:59.999Z,5,2,0:00:42,0,0.00%,0.00%,$0.00
/explore/posts?start=2015-02-12T13:00:00.000Z&end=2015-03-13T12:59:59.999Z,5,4,0:09:09,2,0.00%,40.00%,$0.00
/explore/posts?start=2015-02-13T04:00:00.000Z&end=2015-02-14T15:59:59.999Z,5,5,0:00:00,5,100.00%,100.00%,$0.00
/explore/posts?start=2015-02-15T13:00:00.000Z&end=2015-03-16T12:59:59.999Z,5,5,0:19:27,2,33.33%,60.00%,$0.00
/explore/posts?start=2015-02-19T03:00:00.000Z&end=2015-02-20T04:59:59.999Z,5,1,0:02:21,0,0.00%,0.00%,$0.00
/explore/posts?start=2015-02-19T13:00:00.000Z&end=2015-02-27T12:59:59.999Z,5,5,0:13:08,4,50.00%,80.00%,$0.00
/explore/posts?start=2015-02-19T23:00:00.000Z&end=2015-02-21T04:59:59.999Z,5,1,0:01:14,0,0.00%,0.00%,$0.00
/explore/posts?start=2015-02-28T13:00:00.000Z&end=2015-03-16T12:59:59.999Z,5,4,0:28:54,4,25.00%,80.00%,$0.00
/explore/posts?start=2015-03-06T09:00:00.000Z&end=2015-03-07T12:59:59.999Z,5,3,0:05:57,2,0.00%,40.00%,$0.00
/explore/posts?start=2015-03-09T16:00:00.000Z&end=2015-03-17T15:59:59.999Z,5,3,0:10:39,3,50.00%,60.00%,$0.00
/explore/posts?start=2015-03-12T13:00:00.000Z&end=2015-03-15T12:59:59.999Z,5,1,0:01:33,0,0.00%,0.00%,$0.00
/explore/posts?start=2015-03-13T00:00:00.000Z&end=2015-03-14T12:59:59.999Z&kind_name=photo&kind_name=video&place_id=550256016f5e2218d65daf60&place_id=54fd1d34c62697048325802e&place_id=54eebf5cc626971d230f4a5d,5,1,0:11:32,0,0.00%,20.00%,$0.00
/explore/posts?start=2015-03-17T00:00:00.000Z&end=2015-03-18T12:59:59.999Z,5,1,0:02:45,0,0.00%,20.00%,$0.00
/explore/posts?start=2015-03-18T23:00:00.000Z&end=2015-03-20T12:59:59.999Z,5,2,0:12:05,0,0.00%,20.00%,$0.00
/explore/posts?kind_name=photo&kind_name=video&start=2014-03-01T05:00:00.000Z&end=2015-03-03T04:59:59.999Z,4,3,0:14:28,3,66.67%,50.00%,$0.00
/explore/posts?kind_name=photo&kind_name=video&start=2015-02-21T22:00:00.000Z&end=2015-02-23T04:59:59.999Z,4,2,0:06:26,0,0.00%,25.00%,$0.00
/explore/posts?kind_name=photo&kind_name=video&start=2015-03-12T05:00:00.000Z&end=2015-03-13T12:59:59.999Z,4,1,0:03:20,0,0.00%,25.00%,$0.00
